round,time,inoc,nutrient,replicate,high_N,high_P,material,shoot_mass_g,root_mass_g,leaf_area_mm2,leaf_perim_mm,leaves,mass_saved_g,aphid_mass_g,trans_N,trans_P,trans_NP,trans_L,exp_notes,ext_group,ext_date,extractors,mass_ext_mg,ext_group_notes,ext_sample_notes,RT_date,PCR_date,gel_date,molc_notes,RTPCR_PAV,RTPCR_RPV
1,1,healthy,P,1,0,1,shoot,0.1321,0.0145,508.827,378.019,2,0.1321,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",19,11/6/14,"AK, TP",48.8,"tubes flipped after isoproponal addition, frozen after ethanol addition","some sample lost, try to re-do in 21",2/24/15,3/4/15,3/4/15,NA,0.5,0
1,1,healthy,P,2,0,1,shoot,0.0994,0.0122,517.315,438.84,2,0.0994,0,NA,NA,NA,NA,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",20,11/10/14,"AK, EB, TP",52.4,"frozen after chloroform transfer, frozen after ethanol addition",NA,2/19/15,3/9/15,3/10/15,NA,0,0
1,1,PAV,low,1,0,0,shoot,0.1331,0.0124,709.894,559.625,2,0.0819,0.0512,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",7,10/18/14,AK,47.8,NA,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,1,PAV,low,2,0,0,shoot,0.04,0.0026,206.837,208.309,1,0.025,0.015,1,0,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",16,10/30/14,"AK,TP",16.2,"frozen after chlorophyll transfer, no 5 min air dry before adding water",used all tissue,6/25/15,6/26/15,7/2/15,NA,1,0
1,1,PAV,N,1,1,0,shoot,0.1343,0.0166,749.404,545.159,2,0.0741,0.0602,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",5,10/16/14,"AK, TP, KR",46,2.0 ml tubes for final set,used all tissue,6/25/15,6/26/15,7/2/15,NA,1,0
1,1,PAV,N,2,1,0,shoot,0.0811,0.0035,416.166,294.056,1,0.0529,0.0282,1,0,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, NP leaf broken when trans IAP stopped",5,10/16/14,"AK, TP, KR",42.2,2.0 ml tubes for final set,used all tissue,7/23/15,7/24/15,7/30/15,NA,1,0
1,1,PAV,N+P,1,1,1,shoot,0.1906,0.0123,798.141,602.121,2,0.1212,0.0694,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, L leaf broken when trans IAP stopped",3,10/1/14,"AK,EB,TP",51.9,Frozen after chloroform transfer,NA,8/19/15,8/21/15,8/21/15,NA,1,0
1,1,PAV,N+P,2,1,1,shoot,0.1466,0.0113,580.05,556.094,2,0.0872,0.0594,1,1,1,0,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",16,10/30/14,"AK,TP",51.6,"frozen after chlorophyll transfer, no 5 min air dry before adding water",NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,1,PAV,P,1,0,1,shoot,0.0434,0.0026,203.617,213.843,1,0.0313,0.0121,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",5,10/16/14,"AK, TP, KR",22.8,2.0 ml tubes for final set,used all tissue,7/8/15,7/9/15,7/13/15,NA,1,0
1,1,PAV,P,2,0,1,shoot,0.1333,0.0108,616.449,476.685,2,0.0793,0.054,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, soil may have had more vermiculite",8,10/19/14,AK,48.8,NA,centrifuged after Trizol transfer,6/25/15,6/26/15,7/2/15,NA,1,0
1,1,RPV,low,1,0,0,shoot,0.1303,0.0129,547.398,444.203,2,0.0823,0.048,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",8,10/19/14,AK,48.6,NA,NA,NA,NA,NA,NA,NA,NA
1,1,RPV,low,2,0,0,shoot,0.1173,0.0197,549.329,444.642,2,0.0739,0.0434,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, L leaf broken when trans IAP stopped",2,9/25/14,"AK, EB, TP",43.2,15 min isopropanol incubation,All mass used,NA,NA,NA,NA,NA,NA
1,1,RPV,N,1,1,0,shoot,0.0566,0.0066,289.26,299.462,1,0.0388,0.0178,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",20,11/10/14,"AK, EB, TP",14.1,"frozen after chloroform transfer, frozen after ethanol addition",used all tissue,4/8/16,4/9/16,4/9/16,NA,0,1
1,1,RPV,N,2,1,0,shoot,0.1824,0.0183,907.212,675.489,2,0.1218,0.0606,1,0,0,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late, soil may have had more vermiculite",20,11/10/14,"AK, EB, TP",54.6,"frozen after chloroform transfer, frozen after ethanol addition",NA,7/23/15,7/24/15,7/30/15,NA,0,1
1,1,RPV,N+P,1,1,1,shoot,0.1479,0.0147,624.97,542.267,2,0.0874,0.0605,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",12,10/23/14,"TP, AK",50.4,extra incubation before heating,NA,4/8/16,4/9/16,4/9/16,NA,0,1
1,1,RPV,N+P,2,1,1,shoot,0.0993,0.0142,515.447,383.979,1,0.0655,0.0338,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",8,10/19/14,AK,46.9,NA,NA,4/8/16,4/9/16,4/9/16,NA,0,1
1,1,RPV,P,1,0,1,shoot,0.1233,0.0149,598.165,380.204,2,0.079,0.0443,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",13,10/24/14,AK,46.1,frozen after chloroform transfer,NA,4/22/16,4/30/16,4/30/16,NA,0,1
1,1,RPV,P,2,0,1,shoot,0.1071,0.0155,476.107,335.858,2,0.0688,0.0383,1,1,1,1,"transmission plants 10 days old, some transmission plants received nutrient treatment 2 days late",4,10/15/14,AK,48.3,2.0 ml tubes for final set,NA,NA,NA,NA,NA,NA,NA
1,2,coinfection,low,1,0,0,shoot,0.1659,0.0382,328.334,372.843,1,0.1251,0.0408,0,1,1,1,"transmission plants 10 days old, soil may have had more vermiculite, 2 aphids for transmission to P, L leaf broken when trans IAP stopped",7,10/18/14,AK,49.7,NA,used all tissue,NA,NA,NA,NA,NA,NA
1,2,coinfection,low,2,0,0,shoot,0.0778,0.0791,991.742,686.498,2,0.0592,0.0186,0,0,1,0,transmission plants 10 days old,1,9/22/14-9/24/14,"AK, EB, TP",49.4,"Air dry 7 min, sit 5 min, frozen after chloroform transfer",NA,NA,NA,NA,NA,NA,NA
1,2,coinfection,N,1,1,0,shoot,0.1858,0.0373,1158.226,778.762,2,0.1404,0.0454,1,0,1,1,"transmission plants 10 days old, 4 adults and 2 babies for transmission to P",2,9/25/14,"AK, EB, TP",48.8,15 min isopropanol incubation,NA,NA,NA,NA,NA,NA,NA
1,2,coinfection,N+P,1,1,1,shoot,0.1832,0.0472,1054.471,738.436,2,0.1078,0.0754,1,0,1,1,transmission plants 10 days old,17,11/4/14,"AK, TP",48.1,NA,NA,NA,NA,NA,NA,NA,NA
1,2,coinfection,P,1,0,1,shoot,0.1392,0.0409,865.919,665.356,2,0.1074,0.0318,1,1,1,1,transmission plants 10 days old,10,10/21/14,AK,46.8,extra incubation times (see notebook),may have lost pellet,NA,NA,NA,NA,NA,NA
1,2,coinfection,P,2,0,1,shoot,0.0504,0.0096,280.923,272.648,1,0.0391,0.0113,0,0,1,0,transmission plants 10 days old,6,10/17/14,AK,30.3,NA,used all tissue,NA,NA,NA,NA,NA,NA
1,2,healthy,low,1,0,0,shoot,0.0536,0.0066,275.069,293.909,2,0.0365,0.0171,NA,NA,NA,NA,transmission plants 10 days old,12,10/23/14,"TP, AK",21,extra incubation before heating,used all tissue,3/3/15,3/5/15,3/10/15,NA,0,0
1,2,healthy,low,2,0,0,shoot,0.1016,0.0131,543.717,416.843,2,0.0769,0.0247,NA,NA,NA,NA,transmission plants 10 days old,15,10/29/14,"AK,TP",47.5,4 min incubation after Trizol transfer,NA,6/3/15,6/12/15,6/12/15,NA,0,0
1,2,healthy,N,1,1,0,shoot,0.1864,0.0204,1167.452,852.51,2,0.1404,0.046,NA,NA,NA,NA,"transmission plants 10 days old, soil may have had more vermiculite",13,10/24/14,AK,48.7,frozen after chloroform transfer,NA,3/3/15,3/5/15,3/10/15,NA,0,0
1,2,healthy,N,2,1,0,shoot,0.1685,0.0213,1029.819,746.354,2,0.1255,0.043,NA,NA,NA,NA,transmission plants 10 days old,10,10/21/14,AK,46.9,extra incubation times (see notebook),NA,3/24/15,4/21/15,4/21/15,NA,0,0
1,2,healthy,N+P,1,1,1,shoot,0.1423,0.0223,818.274,643.552,2,0.0845,0.0578,NA,NA,NA,NA,transmission plants 10 days old,19,11/6/14,"AK, TP",32.8,"tubes flipped after isoproponal addition, frozen after ethanol addition","used all mass, some sample lost",2/24/15,3/4/15,3/4/15,NA,0.5,0
1,2,healthy,N+P,2,1,1,shoot,0.1663,0.029,904.453,645.061,2,0.0999,0.0664,NA,NA,NA,NA,transmission plants 10 days old,19,11/6/14,"AK, TP",49.4,"tubes flipped after isoproponal addition, frozen after ethanol addition","some sample lost, ext in 15 probably same plant",2/24/15,3/4/15,3/4/15,"Extracted Twice, information for other sample on ""problem dataset""",0.5,0
1,2,healthy,P,1,0,1,shoot,0.1236,0.0202,730.169,644.568,2,0.0941,0.0295,NA,NA,NA,NA,transmission plants 10 days old,16,10/30/14,"AK,TP",21.6,"frozen after chlorophyll transfer, no 5 min air dry before adding water",used all tissue,2/24/15,3/4/15,3/4/15,NA,0,0
1,2,healthy,P,2,0,1,shoot,0.0775,0.0066,440.918,338.367,1,0.0586,0.0189,NA,NA,NA,NA,"transmission plants 10 days old, soil may have had more vermiculite",9,10/20/14,AK,45.2,NA,NA,3/24/15,4/21/15,4/21/15,NA,0,0
1,2,PAV,low,1,0,0,shoot,0.1433,0.0175,780.449,572.157,2,0.1081,0.0352,0,0,1,1,"transmission plants 10 days old, soil may have had more vermiculite, 3 aphids for transmission to L",17,11/4/14,"AK, TP",47.4,NA,NA,7/8/15,7/9/15,7/13/15,NA,1,0
1,2,PAV,low,2,0,0,shoot,0.1013,0.0163,570.053,458.86,2,0.0778,0.0235,0,0,0,0,transmission plants 10 days old,17,11/4/14,"AK, TP",49.2,NA,NA,7/8/15,7/9/15,7/13/15,NA,0,0
1,2,PAV,N,1,1,0,shoot,0.2734,0.0232,1649.779,1122.732,2,0.2051,0.0683,1,0,1,0,"transmission plants 10 days old, N leaf broken when trans IAP stopped",11,10/22/14,"AK, EB",49.1,NA,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,2,PAV,N,2,1,0,shoot,0.1683,0.0293,1066.163,763.161,2,0.1211,0.0472,0,0,0,0,transmission plants 10 days old,12,10/23/14,"TP, AK",50.4,extra incubation before heating,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,2,PAV,N+P,1,1,1,shoot,0.0235,8.00E-04,111.448,195.649,0,0.0235,0,0,0,1,0,transmission plants 10 days old,8,10/19/14,AK,22.8,NA,used all tissue,7/8/15,7/9/15,7/13/15,NA,1,0
1,2,PAV,N+P,2,1,1,shoot,0.0902,0.0066,501.947,443.277,2,0.0563,0.0339,0,0,1,0,"transmission plants 10 days old, soil may have had more vermiculite, 3 aphids for transmission to NP, NP leaf broken when trans IAP stopped",5,10/16/14,"AK, TP, KR",46.5,2.0 ml tubes for final set,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,2,PAV,P,1,0,1,shoot,0.1688,0.0177,987.201,773.897,2,0.1269,0.0419,0,1,1,0,"transmission plants 10 days old, soil may have had more vermiculite",2,9/25/14,"AK, EB, TP",49.2,15 min isopropanol incubation,NA,NA,NA,NA,NA,NA,NA
1,2,PAV,P,1,0,1,root,0.1688,0.0177,987.201,773.897,2,0.1269,0.0419,NA,NA,NA,NA,"transmission plants 10 days old, soil may have had more vermiculite",NA,8/18/15,NA,16.3,NA,UAT,NA,NA,NA,NA,NA,NA
1,2,PAV,P,2,0,1,shoot,0.0673,0.0124,407.183,346.675,1,0.0427,0.0246,0,0,0,0,"transmission plants 10 days old, soil may have had more vermiculite",18,11/5/14,"AK, EB",26.6,NA,used all tissue,6/25/15,6/26/15,7/2/15,NA,1,0
1,2,RPV,low,1,0,0,shoot,0.109,0.0111,432.066,369.901,2,0.081,0.028,0,1,1,1,"transmission plants 10 days old, leaf broken when IAP stopped, 4 aphids for transmission to N",9,10/20/14,AK,45.8,NA,NA,2/1/16,2/1/16,2/1/16,NA,0,0
1,2,RPV,low,2,0,0,shoot,0.0919,0.0151,477.714,345.615,2,0.0684,0.0235,0,0,1,0,transmission plants 10 days old,18,11/5/14,"AK, EB",46.9,NA,NA,2/1/16,2/1/16,2/1/16,NA,0,1
1,2,RPV,N,1,1,0,shoot,0.2257,0.0204,1306.745,888.845,2,0.1651,0.0606,1,1,1,1,"transmission plants 10 days old, soil may have had more vermiculite, 4 aphids for transmission to P",10,10/21/14,AK,46.5,extra incubation times (see notebook),NA,NA,NA,NA,NA,NA,NA
1,2,RPV,N,2,1,0,shoot,0.1593,0.011,854.083,665.418,2,0.1182,0.0411,0,0,0,0,transmission plants 10 days old,15,10/29/14,"AK,TP",50.1,4 min incubation after Trizol transfer,NA,NA,NA,NA,NA,NA,NA
1,2,RPV,N+P,1,1,1,shoot,0.1509,0.0231,935.258,705.916,2,0.0907,0.0602,1,1,1,0,transmission plants 10 days old,14,10/28/14,"AK, EB",49,frozen after chlororophyll transfer,NA,4/22/16,4/30/16,4/30/16,NA,0,1
1,2,RPV,N+P,2,1,1,shoot,0.1214,0.0153,669.243,522.099,2,0.0739,0.0475,0,0,1,0,"transmission plants 10 days old, P leaf broken when trans IAP stopped",6,10/17/14,AK,48.2,NA,NA,4/8/16,4/9/16,4/9/16,NA,0,1
1,2,RPV,P,1,0,1,shoot,0.0716,0.0126,495.738,406.143,2,0.0542,0.0174,1,1,1,0,"transmission plants 10 days old, soil may have had more vermiculite, 2 adults and 3 babies for transmission to NP, N and P leaves broken when trans IAP stopped",19,11/6/14,"AK, TP",45.1,"tubes flipped after isoproponal addition, frozen after ethanol addition","used all mass, some sample lost",NA,NA,NA,NA,NA,NA
1,2,RPV,P,2,0,1,shoot,0.2276,0.0442,1158.353,824.757,2,0.1698,0.0578,0,0,1,0,"transmission plants 10 days old, soil may have had more vermiculite",4,10/15/14,AK,48.9,2.0 ml tubes for final set,NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,low,1,0,0,shoot,0.1457,0.027,939.023,761.096,2,0.1108,0.0349,1,1,1,1,NA,16,10/30/14,"AK,TP",47.4,"frozen after chlorophyll transfer, no 5 min air dry before adding water",NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,low,2,0,0,shoot,0.2257,0.0272,1268.303,923.464,2,0.1763,0.0494,1,NA,NA,1,3 adults and 2 babies for transmission to L,15,10/29/14,"AK,TP",47.9,4 min incubation after Trizol transfer,NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,N,1,1,0,shoot,0.2397,0.0161,1488.013,967.528,2,0.186,0.0537,1,1,1,1,NA,14,10/28/14,"AK, EB",48.3,frozen after chlororophyll transfer,NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,N,2,1,0,shoot,0.1425,0.0132,1058.803,793.293,2,0.1111,0.0314,1,NA,NA,1,NA,13,10/24/14,AK,47.4,frozen after chloroform transfer,NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,N+P,1,1,1,shoot,0.203,0.0218,1133.213,967.654,2,0.1552,0.0478,1,1,1,1,4 adults and 1 baby for transmission to P,20,11/10/14,"AK, EB, TP",52.7,"frozen after chloroform transfer, frozen after ethanol addition",NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,N+P,2,1,1,shoot,0.1252,0.0157,763.612,672.334,3,0.0968,0.0284,NA,1,1,NA,NA,20,11/10/14,"AK, EB, TP",48,"frozen after chloroform transfer, frozen after ethanol addition",NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,P,1,0,1,shoot,0.0787,0.0028,494.312,398.037,2,0.0594,0.0193,1,1,1,1,NA,8,10/19/14,AK,46.3,NA,NA,NA,NA,NA,NA,NA,NA
1,3,coinfection,P,2,0,1,shoot,0.0914,0.0199,411.81,426.669,1,0.0686,0.0228,1,1,NA,NA,NA,9,10/20/14,AK,45.9,NA,NA,NA,NA,NA,NA,NA,NA
1,3,healthy,low,1,0,0,shoot,0.1031,0.006,691.828,636.956,1,0.1031,0,NA,NA,NA,NA,NA,16,10/30/14,"AK,TP",49.3,"frozen after chlorophyll transfer, no 5 min air dry before adding water",NA,2/24/15,3/4/15,3/4/15,NA,0,0
1,3,healthy,low,2,0,0,shoot,0.1315,0.0151,961.157,986.902,2,0.1315,0,NA,NA,NA,NA,NA,2,9/25/14,"AK, EB, TP",49.2,15 min isopropanol incubation,NA,3/4/16,3/5/16,3/5/16,NA,0,0
1,3,healthy,N,1,1,0,shoot,0.1279,0.0087,723.496,658.766,2,0.1279,0,NA,NA,NA,NA,NA,1,9/22/14-9/24/14,"AK, EB, TP",49.3,"Air dry 7 min, sit 5 min, frozen after chloroform transfer",NA,3/11/16,3/13/16,3/13/16,NA,0,1
1,3,healthy,N,2,1,0,shoot,0.0912,0.0074,700.924,668.28,2,0.0912,0,NA,NA,NA,NA,NA,17,11/4/14,"AK, TP",48.1,NA,NA,2/24/15,3/4/15,3/4/15,NA,0,0
1,3,healthy,N+P,1,1,1,shoot,0.2337,0.0116,1483.239,1124.969,2,0.2337,0,NA,NA,NA,NA,NA,6,10/17/14,AK,52,NA,NA,3/24/15,4/21/15,4/21/15,NA,0,0
1,3,healthy,N+P,2,1,1,shoot,0.1674,0.0085,986.607,808.168,2,0.1674,0,NA,NA,NA,NA,NA,4,10/15/14,AK,49,2.0 ml tubes for final set,NA,3/24/15,4/21/15,4/21/15,NA,0,0
1,3,healthy,P,1,0,1,shoot,0.1698,0.0326,912.403,855.683,3,0.1698,0,NA,NA,NA,NA,NA,15,10/29/14,"AK,TP",50,4 min incubation after Trizol transfer,NA,3/3/15,3/5/15,3/10/15,NA,0,1
1,3,healthy,P,2,0,1,shoot,0.3216,0.0176,1651.959,1367.428,2,0.3216,0,NA,NA,NA,NA,NA,9,10/20/14,AK,53.2,NA,NA,3/24/15,4/21/15,4/21/15,NA,0,1
1,3,PAV,low,1,0,0,shoot,0.0676,0.0231,442.22,525.095,1,0.0502,0.0174,1,1,1,1,NA,7,10/18/14,AK,39.5,NA,used all tissue,6/25/15,6/26/15,7/2/15,NA,1,0
1,3,PAV,low,2,0,0,shoot,0.1351,0.0307,1014.796,783.944,2,0.1007,0.0344,0,0,1,1,2 adults and 3 babies for transmission to L,17,11/4/14,"AK, TP",46.5,NA,NA,7/8/15,7/9/15,7/13/15,NA,1,0
1,3,PAV,N,1,1,0,shoot,0.2357,0.0175,1669.571,1104.955,3,0.1822,0.0535,1,1,1,1,N leaf broken when killing aphids,13,10/24/14,AK,47.4,frozen after chloroform transfer,NA,7/8/15,7/9/15,7/13/15,mis-labelled extraction vial as 13RN1,1,0
1,3,PAV,N,2,1,0,shoot,0.0785,0.051,513.195,545.509,1,0.0603,0.0182,1,0,0,1,NA,12,10/23/14,"TP, AK",48.1,extra incubation before heating,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,3,PAV,N+P,1,1,1,shoot,0.2365,0.0291,1557.79,997.575,3,0.1796,0.0569,1,1,1,1,NA,22,1/11/15,AK,49.6,samples went in fridge after grinding for ~15 min,Ext 21,6/25/15,6/26/15,7/2/15,NA,1,0
1,3,PAV,N+P,2,1,1,shoot,0.202,0.0252,1309.048,977.182,2,0.1585,0.0435,0,1,1,0,NA,8,10/19/14,AK,48.9,NA,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,3,PAV,P,1,0,1,shoot,0.2439,0.0409,1495.55,1107.334,2,0.1184,0.1255,1,1,1,1,NA,3,10/1/14,"AK,EB,TP",50.2,Frozen after chloroform transfer,NA,8/19/15,8/21/15,8/21/15,NA,1,0
1,3,PAV,P,2,0,1,shoot,0.1932,0.0303,1156.034,892.19,2,0.1483,0.0449,1,1,0,0,NA,12,10/23/14,"TP, AK",49.6,extra incubation before heating,NA,6/25/15,6/26/15,7/2/15,NA,1,0
1,3,RPV,low,1,0,0,shoot,0.1656,0.012,1423.18,988.545,2,0.1289,0.0367,1,1,1,1,NA,17,11/4/14,"AK, TP",46.9,NA,NA,NA,NA,NA,NA,NA,NA
1,3,RPV,low,2,0,0,root,0.2009,0.0133,419.435,NA,2,0.1546,0.0463,NA,NA,NA,NA,2 adults and 3 babies for transmission to L,NA,8/18/15,NA,12.9,NA,UAT,NA,NA,NA,NA,NA,NA
1,3,RPV,low,2,0,0,shoot,0.2009,0.0133,419.435,NA,2,0.1546,0.0463,0,0,0,1,2 adults and 3 babies for transmission to L,22,1/11/15,AK,48.8,samples went in fridge after grinding for ~15 min,Ext 21,7/23/15,7/24/15,7/30/15,NA,0,1
1,3,RPV,N,1,1,0,shoot,NA,0.0021,NA,NA,NA,NA,NA,1,1,1,1,plant died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,RPV,N,2,1,0,shoot,0.2467,0.0236,1692.686,1102.2,2,0.1907,0.056,1,0,0,1,NA,3,10/1/14,"AK,EB,TP",49.2,Frozen after chloroform transfer,NA,4/8/16,4/9/16,4/9/16,NA,0,1
1,3,RPV,N+P,1,1,1,shoot,0.2149,0.0176,1353.534,1099.052,2,0.1693,0.0456,1,1,1,1,transmission plants accidentally inoculated with RPV N in addition to RPV NP except NP RPV NP 3,7,10/18/14,AK,51.3,NA,NA,4/8/16,4/9/16,4/9/16,NA,0,1
1,3,RPV,N+P,2,1,1,shoot,0.064,0.0012,923.736,922.41,2,0.0503,0.0137,0,1,2,0,"transmission plants accidentally inoculated with RPV N in addition to RPV NP except NP RPV NP 3, 2 adults and 3 babies for transmission to NP 2",18,11/5/14,"AK, EB",39.6,NA,used all tissue,4/8/16,4/9/16,4/9/16,NA,0,1
1,3,RPV,P,1,0,1,shoot,0.0456,0.0012,354.655,316.466,2,0.0345,0.0111,1,1,1,1,3 aphids for transmission to P,16,10/30/14,"AK,TP",26.1,"frozen after chlorophyll transfer, no 5 min air dry before adding water",used all tissue,4/8/16,4/9/16,4/9/16,NA,0,0
1,3,RPV,P,2,0,1,shoot,0.0673,0.003,423.5,460.682,2,0.0526,0.0147,1,1,0,0,NA,12,10/23/14,"TP, AK",41.4,extra incubation before heating,used all tissue,4/8/16,4/9/16,4/9/16,NA,0,1
1,4,coinfection,low,1,0,0,shoot,0.193,0.0175,1171.31,827.652,2,0.193,0,NA,NA,NA,NA,NA,22,1/11/15,AK,45.2,samples went in fridge after grinding for ~15 min,Ext 21,NA,NA,NA,NA,NA,NA
1,4,coinfection,low,2,0,0,shoot,0.3299,0.0285,1503.965,1034.044,3,0.3299,0,NA,NA,NA,NA,NA,9,10/20/14,AK,48.8,NA,NA,NA,NA,NA,NA,NA,NA
